Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,0.6418944390710815,0.0023719743140220425,0.004261045960067687,0.00041132375209293454,0.9933910522926931
vol_only,0.3849740108524931,0.0006838990927692935,0.0011442699059400667,0.00015071513831710166,0.2864193070776215
spx_small_cap_index,2.055497965801956,0.004222315016686713,0.003963136180437532,0.000527333245493995,1.7683201427360284
best_vol,0.8404285884539431,0.001385986038194493,0.0024483650691494007,0.0003199729164228687,0.5804557497970498
best5,25.64249298490026,0.052354317390347,0.05241426442062734,0.014908583435476614,21.926169325280107
best4_vol,30.61340660087031,0.0639657489529646,0.06322399341425129,0.029066577811926193,26.789077051736243
best10,5.582176556495148,0.011597525886285435,0.010910552758985956,0.001509299894186723,4.857083981079641
best9_vol,5.285092504343854,0.011372489191106668,0.010348703387769375,0.003697310548629147,4.7628378342699635
best20,5.155739346231219,0.010340045243686825,0.009863618474351141,0.0014535950704329314,4.3304467357249194
best19_vol,2.657647970134345,0.00595156933135958,0.004259552447262107,0.0007732225092409135,2.4925378347993634
