Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
log_returns,32.723882324941094,0.060949454238781633,0.06797634822416058,0.004620783917892339,26.159441622751373
best_metric,35.60048763794882,0.06628395247583209,0.08033334350044276,0.006453446077960128,28.449002652651433
best_5,16.748068850101163,0.031085680648693194,0.037440335700550643,0.0014017787373699273,13.341941423251651
best_10,48.665489743306836,0.09418405021341464,0.10594267697376528,0.011223850804367577,40.423695242613135
best_20,24.14244260427222,0.04397481462639095,0.05921741609851581,0.0035067023693847593,18.87394416336586
