Expiry,MAPE,MAE,RMSE,MSE,MASE
1w,86.54385805130005,0.12443553656339645,0.14837385714054108,0.02201480232179165,3.8069426304327316
1m,55.436110496520996,0.1063869446516037,0.1228884756565094,0.015101578086614609,16.01665284596309
3m,65.16991853713989,0.12524501979351044,0.14112220704555511,0.01991547830402851,53.762678600958814
1y,12.742087244987488,0.026783622801303864,0.02966463379561901,0.0008799904608167708,46.92872322831164
