expiry,window_size,normalize,freq_input,mape,mae,rmse,mse,mase
22,128,1,1,40.13223364538891,0.084312414,0.1209226490777923,0.014622287,12.66500275329372
22,128,0,1,40.13215814301191,0.084312274,0.12092185990593225,0.014622096203109907,12.664981710333588
22,64,1,1,37.228851447220215,0.077769579,0.11472309614421568,0.013161388788914954,11.799527237044492
22,64,0,1,37.22883314402432,0.077769541,0.11472310367690845,0.013161390517262686,11.79952143622041
22,256,0,1,35.20304290616235,0.073034413,0.11476978273707344,0.013172103,10.770099526034084
22,256,1,1,35.20302490238954,0.07303439,0.11476975848364285,0.013172097,10.770096149316192
22,128,1,2,34.31976725070433,0.071455409,0.10475939330125897,0.010974530484847861,10.733685794482556
22,128,0,2,34.31976071528125,0.071455386,0.10475926940538378,0.010974505,10.733682254698651
22,32,1,1,33.940852905604444,0.069656916,0.10098523701487973,0.010198018094951434,10.572887622118284
22,32,0,1,33.94085186352348,0.069656916,0.10098523374144684,0.010198017433814653,10.572887555015846
22,512,1,0,33.46164287055425,0.071022166,0.096792758,0.009368838,10.126494374747676
22,512,0,0,33.461632825774586,0.071022148,0.096792755,0.009368837,10.126491837303066
22,512,1,1,32.947312148339726,0.070115234,0.09623261,0.009260715,9.997181969
22,64,1,2,32.88154160521655,0.066935635,0.11154847178746273,0.012443061558118368,10.155755684981072
22,64,0,2,32.88153097358278,0.066935595,0.11154847502222832,0.012443062279784697,10.155749571268991
22,128,1,0,32.658245188299404,0.069482851,0.097987182,0.009601488,10.437377664761271
22,128,0,0,32.65822804578538,0.069482814,0.097987163,0.009601484,10.437372124314319
22,256,0,2,32.37587325367334,0.067515381,0.098538967,0.009709928,9.956229439632814
22,256,1,2,32.375868299553865,0.067515369,0.098538966,0.009709928,9.956227708151081
22,64,0,0,32.145325921667514,0.067141174,0.10027157966204116,0.010054389687921066,10.186940985665771
22,64,1,0,32.145318991258485,0.067141167,0.10027158988877428,0.010054392,10.186939826050995
22,1024,0,0,30.593558565431323,0.072755837,0.099300891,0.009860667,10.011842350302945
22,1024,1,0,30.593547966773976,0.072755816,0.099300901,0.009860669,10.011839482992846
22,512,1,2,29.472362349545524,0.062887396,0.089354079,0.007984151,8.966621186914134
22,512,0,2,29.472357996986265,0.062887388,0.089354088,0.007984153,8.966620024177713
22,32,1,0,28.558978469490143,0.059242856,0.0852478,0.007267187,8.992187686
22,32,0,0,28.558978395142958,0.059242855,0.085247798,0.007267187,8.992187464776874
22,1024,1,1,27.50371534852868,0.065668718,0.098287563,0.009660445,9.036592607309931
22,1024,0,1,27.50369705347403,0.065668685,0.098287533,0.009660439,9.036588072
22,32,0,2,27.32196252135229,0.055179938,0.079308724,0.006289874,8.375496835233825
22,256,1,0,27.086616423522926,0.058459488299356016,0.083154828,0.006914725,8.620792368484393
22,256,0,0,27.086614308099644,0.058459487,0.083154831,0.006914726,8.620792168630038
22,1024,1,2,24.949524545575873,0.058366350014425236,0.081042556,0.006567896,8.031722553519899
22,1024,0,2,24.949513747311237,0.058366328,0.08104258,0.0065679,8.031719563415674
22,512,0,1,32.94730834,0.070115228,0.09623264,0.009260721,9.997181237303643
22,32,1,2,27.3219623,0.055179934,0.07930872,0.006289873,8.375496360475402
