expiry,window_size,normalize,freq_input,mape,mae,rmse,mse,mase
5,32,0,2,47.8378089,0.086198718,0.115225747,0.013276973,2.626784944
5,32,1,2,47.83781015,0.086198722,0.115225752,0.013276974,2.62678507
5,1024,1,2,48.22573769,0.099885483,0.136366386,0.018595791,2.693002003
5,1024,0,2,48.22574135,0.099885485,0.136366389,0.018595792,2.693002062
5,512,1,2,49.95301725,0.093047163,0.123105234,0.015154899,2.660165593
5,512,0,2,49.95301961,0.093047163,0.12310523,0.015154898,2.660165578
5,512,1,1,50.11671328,0.096238627,0.12820829,0.016437366,2.751407728
5,512,0,1,50.11671803,0.096238632,0.128208292,0.016437366,2.751407869
5,1024,0,1,50.45053208,0.108712099,0.151899264,0.023073386,2.930975471
5,1024,1,1,50.45053561,0.108712105,0.151899254,0.023073383,2.930975624
5,64,1,2,51.55053864,0.089009032,0.118998015,0.014160528,2.705559211
5,64,0,2,51.55053967,0.089009033,0.118998018,0.014160528,2.705559255
5,256,1,0,52.42554754,0.098593288,0.127809264,0.016335208,2.925524636
5,256,0,0,52.42554781,0.098593289,0.127809261,0.016335207,2.925524645
5,256,1,1,56.70958366,0.103564518,0.138156367,0.019087182,3.073034234
5,256,0,1,56.70958393,0.103564516,0.138156355,0.019087178,3.073034175
5,32,0,1,57.70948794,0.105707833,0.139178108,0.019370546,3.221297815
5,32,1,1,57.70948963,0.105707834,0.139178108,0.019370546,3.221297855
5,128,1,2,58.47372842,0.101700843,0.143797928,0.020677844,3.07113368
5,128,0,2,58.47374215,0.101700858,0.143797927,0.020677844,3.071134117
5,512,0,0,58.51562251,0.112020028,0.145013736,0.021028984,3.202589028
5,512,1,0,58.5156228,0.112020029,0.145013737,0.021028984,3.202589057
5,64,0,1,61.96630352,0.109680956,0.14209185,0.020190094,3.333912484
5,64,1,1,61.96630785,0.109680961,0.142091857,0.020190096,3.333912634
5,1024,0,0,62.8597496,0.128452042,0.171207227,0.029311915,3.463181995
5,1024,1,0,62.85975465,0.128452043,0.171207223,0.029311913,3.463182021
5,128,1,0,65.73020584,0.118085974,0.157836387,0.024912325,3.565927294
5,128,0,0,65.73020739,0.118085977,0.157836396,0.024912328,3.565927366
5,128,0,1,69.24724222,0.122706701,0.161663297,0.026135022,3.705462705
5,128,1,1,69.24724522,0.122706702,0.161663297,0.026135022,3.705462748
5,64,1,0,70.53057427,0.126060742,0.163972563,0.026887001,3.831799923
5,64,0,0,70.53057482,0.126060741,0.163972566,0.026887002,3.831799917
5,32,1,0,76.11696399,0.142238574,0.178480345,0.031855234,4.334520874
5,32,0,0,76.11696794,0.142238582,0.178480353,0.031855236,4.334521121
5,256,0,2,90.0260927,0.140485245,2.253761799,5.079442249,4.168570209
5,256,1,2,90.02609597,0.140485229,2.253759619,5.079432422,4.168569735
