iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,20.552455328251273,0.024336312560228616,0.03092643007702743,0.0009564440773092669,5.4105689141344575
2,100,1100,1100,1300,1000,200,16.361534385647477,0.023731584464425044,0.028629242700817584,0.0008196335376223168,5.225202879864043
3,200,1200,1200,1400,1000,200,14.27664250576661,0.022930622754362973,0.02830427756387442,0.0008011321284128448,5.404594135354363
4,300,1300,1300,1500,1000,200,15.17176874862019,0.027314259971204374,0.035920709649033,0.0012902973816901326,5.08175570275118
5,400,1400,1400,1600,1000,200,29.936554583529652,0.05866098639171988,0.06666195295385682,0.00444381597162222,9.365738855766562
6,500,1500,1500,1700,1000,200,23.249117683362932,0.05177388845195598,0.05983934663681313,0.0035807474059206795,7.134449775476515
7,600,1600,1600,1800,1000,200,25.74644025522355,0.09075445762423026,0.12132799483208569,0.014720482329974612,8.149917536652746
8,700,1700,1700,1900,1000,200,29.46339820998994,0.09981794315798821,0.1256342753119706,0.01578397113316403,9.179013199601911
9,800,1800,1800,2000,1000,200,37.61457504499539,0.10455232162754662,0.12334384047122318,0.015213702982190554,11.512506445936731
10,900,1900,1900,2100,1000,200,31.05531765927434,0.07864071267605682,0.09872325513512342,0.009746281104474673,9.258875130870477
11,1000,2000,2000,2200,1000,200,25.24361141685073,0.043043659081426745,0.05302353135312238,0.0028114948771555516,6.531616652196311
12,1100,2100,2100,2300,1000,200,29.944323413964195,0.04457872371148712,0.05418617226730926,0.0029361412649825157,7.448374356504934
