iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,27.084153322980313,0.03268511005619572,0.03891778284119521,0.0015145938212744283,7.171573093760959
2,100,1100,1100,1300,1000,200,19.04505640116914,0.023929905026237996,0.031289995941527565,0.0009790638460208114,5.238616661258856
3,200,1200,1200,1400,1000,200,14.853842472266996,0.02093916880646878,0.025598667656200974,0.0006552917857726298,4.796820835261063
4,300,1300,1300,1500,1000,200,19.462708806510683,0.03592862145737735,0.0471566797338655,0.0022237524435223615,6.584076168547378
5,400,1400,1400,1600,1000,200,20.788851738417172,0.04575583635708826,0.05654759405074069,0.0031976303929273637,7.009751330909204
6,500,1500,1500,1700,1000,200,24.13095947605458,0.06600505589555788,0.08281847963535048,0.006858900569110962,8.49843742767584
7,600,1600,1600,1800,1000,200,34.211515081633124,0.1192931329755202,0.1474279258451476,0.02173499331900234,10.766263115595962
8,700,1700,1700,1900,1000,200,20.666238307082494,0.08050487764236763,0.11926335400299637,0.014223747608044028,7.2646336721825975
9,800,1800,1800,2000,1000,200,19.75436960856351,0.05158745843626794,0.06102008154390669,0.0037234503516250213,5.729591664059134
10,900,1900,1900,2100,1000,200,25.828725163751137,0.05397311661385116,0.06240720299608555,0.0038946589857946296,6.89541236850348
11,1000,2000,2000,2200,1000,200,25.531473879430923,0.04551481984505539,0.05813008133338259,0.003379106355825675,7.0738771589621985
12,1100,2100,2100,2300,1000,200,36.98803845024919,0.05797290598809454,0.07354574779725943,0.005408977019058091,8.92998488429801
