iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,18.718411955523834,0.056725385331764515,0.06450783675432811,0.004161261002723044,77.61372919193856
2,100,1100,1100,1300,1000,200,14.939266272423101,0.04771890439800197,0.055999360597306265,0.0031359283873071374,67.93976771779019
3,200,1200,1200,1400,1000,200,12.79943279779461,0.035888156889947925,0.04892964537620293,0.0023941101966409766,44.0472205059385
4,300,1300,1300,1500,1000,200,11.96370829696631,0.03113198855632283,0.03436324928894575,0.0011808329016942303,39.94784899866977
5,400,1400,1400,1600,1000,200,30.39906579621458,0.06290143923049776,0.06911809124142253,0.0047773105368576095,89.47080228803375
