iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,17.189771462466805,0.020593282407165098,0.025978934960321193,0.0006749050616725986,4.578400008483158
2,100,1100,1100,1300,1000,200,28.61765089448507,0.043522235410624915,0.047659104959487775,0.002271390285539472,9.582693905104485
3,200,1200,1200,1400,1000,200,24.823187254055043,0.039142859207191814,0.042486257589460764,0.0018050820839580124,9.225709636339419
4,300,1300,1300,1500,1000,200,15.310570875650898,0.030422198074597232,0.04412874700418908,0.0019473463121597269,5.659980490732428
5,400,1400,1400,1600,1000,200,17.979804493123332,0.03803890125286193,0.05204337270415564,0.0027085126424236526,6.073242838359151
6,500,1500,1500,1700,1000,200,22.04786218458229,0.049607350958852534,0.06018673348234892,0.0036224428872753,6.835900576384065
7,600,1600,1600,1800,1000,200,35.86814050197789,0.1236611842100226,0.15129434687833604,0.02288997939734227,11.105002224457476
8,700,1700,1700,1900,1000,200,22.10549195701665,0.07837333530327546,0.1134343336573247,0.012867348052281269,7.207019664860933
9,800,1800,1800,2000,1000,200,20.929761357937394,0.06013770540015318,0.06859287753010727,0.004704982847860295,6.621906718910167
10,900,1900,1900,2100,1000,200,39.00318779027962,0.08708750293932234,0.09770636699547308,0.00954653415145407,10.253369886104801
11,1000,2000,2000,2200,1000,200,41.324535953279664,0.07002176214763646,0.08683812209723221,0.00754085944937381,10.625381703596373
12,1100,2100,2100,2300,1000,200,38.73561299802685,0.057315788378902346,0.0711400053880498,0.005060900366611755,9.576529178969585
