iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,24.84948025997798,0.07435867545073807,0.08067384848429339,0.006508269829266726,101.74023615266842
2,100,1100,1100,1300,1000,200,32.744474888948034,0.10423639298418422,0.11442179947898048,0.013092348196008019,148.40651553983062
3,200,1200,1200,1400,1000,200,38.31244480345269,0.11272152604707425,0.12197579928057571,0.014878095610135294,138.34842309642426
4,300,1300,1300,1500,1000,200,12.484909244251405,0.033103946797410265,0.03606537189872336,0.0013007110501932245,42.47822028876984
5,400,1400,1400,1600,1000,200,22.781305959475162,0.04583205718065982,0.05666261321528599,0.0032106517363851028,65.19136885625475
