iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,11.83620931801282,0.018156432946111824,0.020882461344587967,0.00043607719180821064,11.695723932075177
2,100,1100,1100,1300,1000,200,19.023869892898368,0.0299817282186482,0.03152669102367186,0.0009939322469020718,18.89651176380377
3,200,1200,1200,1400,1000,200,12.478570145314778,0.02367575256175582,0.0296726992664408,0.0008804690817566363,15.44492211372634
4,300,1300,1300,1500,1000,200,40.15612317778385,0.08554158103567573,0.10021280575296385,0.010042606436881265,42.66332381298782
5,400,1400,1400,1600,1000,200,18.986399514991028,0.043647536826927416,0.054153109624141424,0.0029325592819642783,15.489988175307486
6,500,1500,1500,1700,1000,200,33.395507348793885,0.11132176012875228,0.12360011038119499,0.015276987286243587,30.14493807682586
7,600,1600,1600,1800,1000,200,26.817923932012768,0.09166429319780861,0.10529379637755037,0.01108678355559704,25.15297824458565
8,700,1700,1700,1900,1000,200,13.56322054835379,0.04176274146111493,0.05409501960823951,0.002926271146415817,13.714536895762649
9,800,1800,1800,2000,1000,200,32.49093673590134,0.07231716510289507,0.08087774241262806,0.006541209217763415,28.247016837315826
10,900,1900,1900,2100,1000,200,23.057474615026162,0.04384178195560499,0.05078015200093069,0.0025786238372376247,20.435944942229472
11,1000,2000,2000,2200,1000,200,19.965946025749595,0.03575143675968356,0.03889732909431667,0.001513002210671574,15.918537742637513
