iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,9.199342213796193,0.014252965975971183,0.016724842184970303,0.00027972034611216227,9.181250290901314
2,100,1100,1100,1300,1000,200,20.28587852676039,0.03179370149080328,0.033479826484304635,0.001120898781419146,20.03853980178991
3,200,1200,1200,1400,1000,200,15.805471169727966,0.029885384662279187,0.035018860444734616,0.0012263205868477988,19.495787398676153
4,300,1300,1300,1500,1000,200,18.256965590985935,0.038230851208272125,0.04164499318384442,0.0017343054572824482,19.067395820804705
5,400,1400,1400,1600,1000,200,30.24069822325738,0.07101749667918389,0.07892190935347823,0.0062286677759986345,25.203259193353574
6,500,1500,1500,1700,1000,200,30.378458081337385,0.10175106246960641,0.11419137622259402,0.013039670403610013,27.553278656841012
7,600,1600,1600,1800,1000,200,13.82170294808429,0.04740019809933079,0.05791673744103171,0.0033543484758134044,13.006767520790968
8,700,1700,1700,1900,1000,200,22.382710116600208,0.05773767296026934,0.068351427036077,0.004671917577868156,18.96057151387857
9,800,1800,1800,2000,1000,200,26.40784509776158,0.05985579566300932,0.06500288192688475,0.004225374658800521,23.37961762602713
10,900,1900,1900,2100,1000,200,32.95487849490762,0.0629547662405615,0.07027380250210481,0.004938407318104833,29.34506946012861
11,1000,2000,2000,2200,1000,200,17.696470191841502,0.03192148928628634,0.034109929290538875,0.001163487276205562,14.21323107713464
