iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,41.641875179423494,0.04196369079963933,0.05032655285329608,0.0025327619220956044,1.8378956313883807
2,100,1100,1100,1300,1000,200,53.32219914842018,0.04530614660265403,0.05627773317809439,0.003167183251664786,1.9741387056530546
3,200,1200,1200,1400,1000,200,51.003874419321384,0.049034114447491214,0.05891372304761073,0.0034708267633305795,1.8881972403461245
4,300,1300,1300,1500,1000,200,39.17098691861119,0.04882330709291106,0.05916081486044494,0.003500002014951842,1.7112004891740522
5,400,1400,1400,1600,1000,200,42.24271432630033,0.06215912291453636,0.08438838759585832,0.007121399961028813,1.9083610657837426
6,500,1500,1500,1700,1000,200,53.55205773130673,0.08835880367368651,0.10739961390135641,0.011534677066160428,2.438207937268736
7,600,1600,1600,1800,1000,200,35.05023966376089,0.09273410515506786,0.13324077901357223,0.01775310519214359,2.1046069158002596
8,700,1700,1700,1900,1000,200,37.06403137802844,0.109288057405611,0.14389263799623736,0.02070509126951621,2.2327811099639323
9,800,1800,1800,2000,1000,200,40.22325189477311,0.0906707314957842,0.11754307443188038,0.013816374346898572,1.8157109085844272
10,900,1900,1900,2100,1000,200,49.88850780059581,0.10237309734821917,0.13020181900536268,0.01695251367230522,2.1073294461311085
11,1000,2000,2000,2200,1000,200,68.78035259599883,0.09608241117722241,0.1135758677680097,0.012899477739256425,2.349171052302824
12,1100,2100,2100,2300,1000,200,91.39817066658244,0.10978734559510371,0.12539852671120694,0.01572479050134128,3.240020689119912
13,1200,2200,2200,2400,1000,200,50.47429879702348,0.06911965608091684,0.08864083594508675,0.007857197797043783,2.1984487155463612
