iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,42.627427223292976,0.043371441390213386,0.05104469708591266,0.0026055611005925804,1.8995512820520422
2,100,1100,1100,1300,1000,200,45.446436207023226,0.0439046592158857,0.055667174050019336,0.003098834266715146,1.9130712633042533
3,200,1200,1200,1400,1000,200,60.267964800845434,0.07259446622800059,0.08987015376746733,0.008076644538188224,2.795455211960575
4,300,1300,1300,1500,1000,200,41.65327195218514,0.06158100328587196,0.07336066945368735,0.005381787822693177,2.1583429968412235
5,400,1400,1400,1600,1000,200,40.78175095595778,0.06305802296644482,0.08585728998461456,0.007371474243502196,1.935958396322844
6,500,1500,1500,1700,1000,200,41.22307161099765,0.07630678131311669,0.10202453446357627,0.010409005632509462,2.105639643471967
7,600,1600,1600,1800,1000,200,34.257852652284,0.09535377698124713,0.13852233044174664,0.019188436031012446,2.1640605486711935
8,700,1700,1700,1900,1000,200,37.710435293522124,0.11986241108013097,0.1587606170699663,0.02520493353243648,2.448817680610614
9,800,1800,1800,2000,1000,200,39.55631972724186,0.08664768598596247,0.10987137466846021,0.01207171897153716,1.7351481128794586
10,900,1900,1900,2100,1000,200,52.40820556960656,0.09270248312262176,0.11714690702165685,0.013723397824740715,1.908261813641133
11,1000,2000,2000,2200,1000,200,57.80103508958804,0.08273154789683057,0.10028031451439345,0.01005614147910567,2.0227485452354292
12,1100,2100,2100,2300,1000,200,68.6937920057134,0.08264836425089074,0.09664594982207818,0.009340439617011653,2.439100869442526
13,1200,2200,2200,2400,1000,200,72.66629298133932,0.08751134261596359,0.09948989753609958,0.009898239711743593,2.783422396439255
