iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,25.197707866602233,0.03710780395626816,0.040955632343983896,0.00167736382069558,23.903518498715933
2,100,1100,1100,1300,1000,200,11.700606163602439,0.018160272516317626,0.02041540506585263,0.00041678876400284126,11.445831298845347
3,200,1200,1200,1400,1000,200,6.37438422268344,0.011462430901653706,0.01281492115144331,0.0001642222041177091,7.477538551234219
4,300,1300,1300,1500,1000,200,5.053993286419213,0.010631010577534121,0.012542615752135727,0.00015731720990572325,5.302149448693014
5,400,1400,1400,1600,1000,200,12.212834948478571,0.03407110851693153,0.04751772536903395,0.002257934224246933,12.091428438209064
6,500,1500,1500,1700,1000,200,27.169810171258607,0.09197596958646784,0.10608534063578136,0.011254099497809764,24.90627083629788
7,600,1600,1600,1800,1000,200,25.50304273002476,0.08625850126100446,0.09702406386202939,0.009413668968303156,23.6696114696107
8,700,1700,1700,1900,1000,200,15.101288699859303,0.0403289652334985,0.046155002260003596,0.002130284233620937,13.24369670936776
9,800,1800,1800,2000,1000,200,17.216566434712625,0.044881902927226776,0.057375171560497935,0.003291910311596571,17.530829172746376
10,900,1900,1900,2100,1000,200,46.24561070504957,0.09043726195457878,0.09195060172268146,0.00845491315716319,42.1554695906578
11,1000,2000,2000,2200,1000,200,54.801188284892135,0.1001024058693023,0.10201686218861876,0.010407440170811633,44.57118567487221
