iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,32.34407584992957,0.039796508827899736,0.045027624927912874,0.002027487006648801,8.847755921215416
2,100,1100,1100,1300,1000,200,20.72163046139742,0.030420540872483057,0.03965198565355805,0.0015722799662699733,6.697972400966332
3,200,1200,1200,1400,1000,200,35.912954897396475,0.055522745345681856,0.059532392206969105,0.0035441057218843957,13.086339044889243
4,300,1300,1300,1500,1000,200,16.9285235810871,0.035045903013788494,0.05126310470495448,0.002627905903991126,6.520210237661133
5,400,1400,1400,1600,1000,200,37.16449514993028,0.07880727058611399,0.09195251763385934,0.008455265499205214,12.582269096474992
6,500,1500,1500,1700,1000,200,39.53723424967854,0.08484824342505386,0.09794571979312948,0.009593364025794237,11.69210096736674
7,600,1600,1600,1800,1000,200,28.656274995765465,0.10126741745914543,0.13384231459865314,0.017913765177124837,9.094000703073716
8,700,1700,1700,1900,1000,200,34.357448281621046,0.11522618476785329,0.14083518857619534,0.019834550341292504,10.595917301660524
9,800,1800,1800,2000,1000,200,66.38382221653158,0.1743777156638192,0.18837170751987742,0.03548390019395424,19.201147754126147
10,900,1900,1900,2100,1000,200,49.232244573283836,0.10851433000665267,0.1344397346793308,0.018074042260648855,12.776087566505083
11,1000,2000,2000,2200,1000,200,51.71736345056702,0.09195822806525147,0.0986876533839974,0.009739252930440015,13.954108608685544
12,1100,2100,2100,2300,1000,200,31.975752673941805,0.04764282973076126,0.05713147644955243,0.003264005601305764,7.960336270158666
