Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,22.08839696611265,0.0438320221554416,0.0532529718422953,0.0028367149088141474,6.344595058384965
vol_only,26.521123183263786,0.04760495349436661,0.060147939491189406,0.0036180817467591224,6.890719109967141
spx_small_cap_index,35.48673664792104,0.05983415075611207,0.0712076333475406,0.005101300213865656,8.660870262011418
best_vol,31.3805126309536,0.05167852850045015,0.06642191512688549,0.004416189564296557,7.480360714041514
best5,53.64012856926925,0.0918276474825858,0.1084080366475939,0.012081623758676543,13.291863112658184
best4_vol,46.20949070799647,0.07839127344175272,0.09293729892281632,0.008779709317079942,11.346975604622045
best10,24.660518611614354,0.04556922458629278,0.05352209338036739,0.0028704534175907938,6.596051537374367
best9_vol,23.449105221902013,0.046643348975276576,0.05389107363108029,0.0029047080879697463,6.75152883354541
best20,26.152262370645577,0.04570147681871489,0.0549616531839861,0.003125660025044976,6.61519477601643
best19_vol,30.671947741971113,0.053814795438998676,0.06582612087587034,0.004604169641649546,7.789580959770553
