Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,16.67561110156746,0.03668501813580236,0.044749004618914345,0.0020036092905493636,15.36381256486177
vol_only,27.045523228835435,0.05218396231284935,0.06496037668700218,0.004226536420716646,21.85482402921245
spx_small_cap_index,29.693291296800748,0.056862042550888635,0.066731598188306,0.004499201687102393,23.814020224088406
best_vol,28.928940466560647,0.055281471132735134,0.07002751222553562,0.0049499927153955955,23.152071443689994
best5,34.8862647768703,0.06733284748713213,0.0790760204176839,0.006333962280477243,28.19922957162512
best4_vol,108.15583559998,0.22047133609186487,0.23089517619867386,0.0536679060240949,92.33415862303404
best10,41.95035665723014,0.08346610019245493,0.08947746776359333,0.008175387206020247,34.9558916430069
best9_vol,64.54020479394383,0.12886440142814629,0.13794560251122764,0.01933916967604689,53.96885732742578
best20,24.413088944043555,0.04474833608590653,0.061986394173524105,0.0038460566176176225,18.740758030111063
best19_vol,36.92151984482713,0.06955379588979958,0.08762795599435541,0.007810544702769054,29.12937044953055
