,5,22,66,252
5,1.5676697533836248,,,
10,1.265743646090506,,,
20,1.5046621500405222,,,
50,1.679181626571579,4.094221400876419,,
100,1.7990125984017913,4.947130040527249,13.874047491919647,
200,1.8030620723870088,5.543640021748922,10.85755482516664,
500,1.7762400963627885,6.0906855131893085,16.490864307827717,39.66567076657381
1000,1.6793261067667868,4.747550944764111,14.791971047817785,55.43434130720379
