,5,22,66,252
5,1.8729681035549333,,,
10,1.3896913540465987,,,
20,1.5111387630396202,,,
50,1.6660761432378426,4.294273388289742,,
100,1.786067226784124,4.944446683884323,13.75195080594572,
200,1.7665367881311635,5.39227098635764,10.766960204209932,
500,1.7675985011325397,6.047490215898043,16.622837361514318,40.04626701755919
1000,1.6761413510089842,4.750467433448177,15.043311944050446,55.7931421587788
