Expiry,MAPE,MAE,MSE,RMSE,MASE
1w,53.99971718750244,0.04013826327126952,0.003477485360695291,0.05897020739912054,1.0350609319587865
1m,11.074433840780776,0.023558192422821037,0.002408339319484521,0.04907483387118617,1.6682213169504694
3m,8.459950873118734,0.018432814660215267,0.0008419618275192449,0.029016578494358097,3.4963297857070397
1y,11.745277046780666,0.023953877144742872,0.0009099927640567834,0.030166086323167335,9.274287841071947
