,5,22,66,252
5,28.735217608197484,,,
10,25.702551030261827,,,
20,34.08861783939227,,,
50,40.65657356453628,14.131740961650676,,
100,44.661221649955934,17.344756167281574,13.225702828771132,
200,45.11778450311763,19.32230016881831,11.369931845793682,
500,45.34926626443776,21.876207193413858,18.49266140532141,11.816983635161641
1000,44.01487502683191,17.032876609294956,15.860856855477781,15.50371861267091
