Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,2.0,35.927388657400336,0.07335900333665395,0.08406205846881605,0.007066429674014649,127.72926313980076
best_metric,2.0,90.59762355121896,0.18906464607040144,0.18981670012051355,0.03603037964464097,329.1905128200327
best_5,2.0,5.970425252569296,0.012627025092993122,0.01400045434416522,0.00019601272184305478,21.985585100907816
best_10,2.0,7.345369462389997,0.01588003125869267,0.018908736642888644,0.00035754032143011966,27.649567184023503
best_20,2.0,8.3313124821673,0.017157529778407926,0.018100342534286804,0.00032762239985851204,29.873887814943057
