Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,0.5,76.9398075904097,0.11453348866474497,0.14254414844612986,0.020318834256232304,3.5077949200365204
best_metric,0.5,81.62803579595183,0.11390219384298321,0.14431120085193597,0.020825722691327805,3.48846037609974
best_5,0.5,80.03526145850502,0.10297287634838743,0.12055807434423084,0.01453424928958909,3.1537302911790817
best_10,0.5,58.43657184215741,0.07523768234395303,0.08928051997532294,0.007971011247064038,2.304289889343759
best_20,0.5,138.27706918790255,0.1725129983593215,0.19827730639186436,0.039313890230013256,5.283522106415739
