Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,1.0,25.967905073081244,0.05395186135453749,0.06142601176633094,0.0037731549215174265,93.93845584584915
best_metric,1.0,49.55656742765738,0.10216664173478017,0.10373708796301512,0.010761383419046337,177.88777481565373
best_5,1.0,9.06600919572577,0.018764125145012314,0.020634475910835837,0.0004257815961148644,32.67121647272845
best_10,1.0,7.6982580361153685,0.01631418640467555,0.018644572993970144,0.00034762010212748077,28.40549780415828
best_20,1.0,3.1637090847898106,0.006721045227816014,0.008097242454409442,6.556533536549063e-05,11.702369381145555
