Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,1.0,49.1414873975733,0.09061073054559833,0.12069313012398458,0.014566831659125076,13.711927645325044
best_metric,1.0,124.12580585653421,0.2178241030703182,0.22787318056932676,0.051926186422781,32.96285465003482
best_5,1.0,112.36668516393271,0.1980776986855005,0.23066202692996637,0.05320497066744054,29.974673597419937
best_10,1.0,38.69909891893342,0.06531838863191564,0.07758226821501267,0.006019008341386166,9.88449175320723
best_20,1.0,50.239896349770504,0.0801256286230777,0.10670180845459222,0.011385275927480489,12.125239644359077
