Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,0.5,34.96096269974239,0.06605447236190216,0.08886178735674845,0.007896417252235978,9.995881726400272
best_metric,0.5,102.97763136826732,0.178503724822448,0.19309631090738566,0.037286185286041745,27.012586086089332
best_5,0.5,55.71443075303634,0.09477597398931857,0.12352913890334216,0.015259448158201202,14.342245008197592
best_10,0.5,33.14373193880626,0.0549973506477025,0.06737329511201909,0.004539160894251215,8.322631196383183
best_20,0.5,27.68807644992054,0.04629441432067572,0.05548027132943122,0.003078060506787308,7.005634495225263
