Feature_Selection,Flatness_Weight,MAPE,MAE,RMSE,MSE,MASE
log_returns,1.0,112.3862846887638,0.16910187207713137,0.2137255559858329,0.045678613281453395,5.179050204059789
best_metric,1.0,104.00750277411686,0.15723886650278177,0.1972922903467933,0.038924247830283386,4.815724235601119
best_5,1.0,126.87315864460524,0.16241991649863297,0.18314107885025174,0.033540654762434126,4.9744032478950695
best_10,1.0,133.11230592589808,0.16672215318881872,0.18831793875714758,0.035463646057740786,5.106167015702779
best_20,1.0,113.95413811670312,0.14516516006828056,0.17516611282279457,0.030683167081447995,4.445945172807304
