Horizon,Horizon_Days,Context_Window,MAPE,MAE,RMSE,MASE,N_Predictions
1w,5,10,25.702551030261827,0.04149571322622686,0.0622569051541451,1.265743646090506,2435
1m,22,44,14.207843943482096,0.027476524004510536,0.05457692382728939,4.1763108202595545,2401
3m,66,132,9.736835615992373,0.02032838891390984,0.031985443928557275,9.135127244649595,2313
1y,252,504,12.051091122202239,0.025060230066207327,0.03048964141218821,40.47310687240674,1941
