Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,16.686432159867877,0.03614396362238595,0.04363045390892387,0.0019040911264169942,15.137217062012894
vol_only,28.628302433904196,0.05530514037261797,0.06864127686703997,0.00471167828496762,23.16198420327393
spx_small_cap_index,29.66615592398536,0.05694712484894756,0.06630376530704601,0.004397819077221226,23.849652984991675
best_vol,26.65054055772104,0.051132067991096264,0.06407770054936364,0.00412771283706176,21.414287046577442
best5,43.4247095600817,0.08275914930940882,0.10368444858173813,0.011051997495441524,34.659818166377384
best4_vol,106.39773275105836,0.216830175877725,0.2258988273799495,0.0520305217872901,90.8092281230248
best10,30.590268212765142,0.05915941470330514,0.06964420570284219,0.004870557959253399,24.776167632897046
best9_vol,81.59251294617853,0.16421763791862334,0.17242910248276266,0.02973235246004397,68.77491512982958
best20,22.26055339654526,0.040982275455925386,0.05671153110778804,0.0032242750087916627,17.163518803657833
best19_vol,28.808962223440915,0.05349814984237924,0.07068491660544692,0.005079452151946647,22.40521031508076
