Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
vol_only,48.234741137389605,0.0670355727334705,0.08378099508217171,0.00701925513695888,2.0508656585427305
best_metric,43.746069808858934,0.06278229799854708,0.08078535647782842,0.006526273821249813,1.9228212538573968
vol_plus_4,67.38023697283798,0.08414360531929113,0.09786690372499689,0.00957793084471781,2.574263536487184
vol_plus_9,67.83826238318579,0.0861612873275037,0.10189891214119187,0.01038338829555834,2.635991878198459
vol_plus_19,68.92566792960949,0.08933517167677286,0.1068491792830689,0.011416747113465402,2.7330927181059903
