Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
log_returns,45.853569053254056,0.06400372935875968,0.08213673699091753,0.00674644356351516,1.9602297923992031
best_metric,44.303661631141814,0.06283553228822406,0.0805888883801636,0.0064945689303504694,1.9244516475317117
best_5,63.59057285295232,0.0800244958113334,0.09230058212292773,0.008519397460231327,2.4508946960233953
best_10,78.20859630353574,0.0986961378325351,0.11493632659248924,0.01321035917057535,3.0227474510060732
best_20,79.32242292886168,0.09752711683404024,0.11110121702541347,0.012343480424528024,2.9869440718569447
