Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
log_returns,23.830500368337894,0.05053387898067594,0.053761520577799225,0.0028903010948371295,87.98722491057242
best_metric,14.49373406865257,0.03125588231146432,0.036485167826978956,0.0013311674713628206,54.421279390977155
best_5,18.25716243187552,0.038620366399083984,0.04216911463412189,0.0017782342290257125,67.24397439951805
best_10,8.983757734614427,0.019233385648241903,0.025807723814388093,0.0006660386084797344,33.48827089784193
best_20,6.577938834308204,0.014061034848803002,0.01694617225137867,0.0002871727539733964,24.48241577081637
