Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
log_returns,39.67474908535157,0.061891168237384594,0.08217229501199114,0.0067522860675377026,1.895528793100059
best_metric,42.2016535232583,0.0614143983926812,0.07962944470906165,0.006340848464673506,1.880926855633782
best_5,73.360245396472,0.08965347860892901,0.10451726265113753,0.010923858192086869,2.74579968264607
best_10,88.21358025904141,0.10638151676513051,0.122111343354239,0.014911180175776848,3.2581260594166297
best_20,96.53771781216646,0.11958273954718114,0.1370010146145502,0.018769278005416192,3.662437346473422
