Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
log_returns,13.623916630810449,0.028936776241679993,0.03410296799571295,0.0011630124261166217,50.383360444924826
best_metric,16.572813523586614,0.03443173628077988,0.03529532108670513,0.0012457596906136116,59.95092768075436
best_5,9.11806625442451,0.019056291611663084,0.01977040379726776,0.00039086886630701945,33.17992305000028
best_10,5.222829674575923,0.010933383301544194,0.012470074989540694,0.00015550277024476835,19.036695282274533
best_20,5.130864540041478,0.010379085141544914,0.012440876658076349,0.00015477541202146893,18.071577269267397
