,5,22,66,252
5,1.6562858353156023,,,
10,1.287171369932591,,,
20,1.593613619519879,,,
50,1.7328765667999204,3.9420343214791234,,
100,1.819015882205834,5.109435503698169,7.862521928928608,
200,1.8206496652841508,5.733866515230413,11.409946458871719,
500,1.7767526918127274,6.3106663942539045,18.135763359414373,45.222769711957326
1000,1.6612766191980817,5.07661976226376,16.396335665028644,63.70964296355626
