Expiry,MAPE,MAE,MSE,RMSE,MASE
1w,28.60824791512281,0.03905909404282916,0.003146819012849864,0.05609651515780516,1.0208631090429867
1m,11.578538341055346,0.020419240474365895,0.0007330232173518752,0.027074401514195566,1.9819578484115625
3m,8.744305315228546,0.016558403014543255,0.00044403605570015394,0.021072163052239176,3.1757879011001773
1y,4.64095801030156,0.009711687143172557,0.00013034483991718714,0.0114168664666443,8.4054125655362
