Context_Window,MAPE,MAE,RMSE,MSE,MASE
5,23.0299432610832,0.04873870294267329,0.04960070978161175,0.002460230410839675,88.84114801434912
10,28.72538609805339,0.060875959335163356,0.061636804066500496,0.0037990956155321723,110.9649988054053
20,24.0668520072953,0.05096913557562449,0.05176508472699629,0.002679623996793105,92.90679161412079
50,22.149185326458035,0.04697173492020022,0.04753653052089765,0.0022597217339642337,85.62030999151968
100,22.29207787472569,0.04726986654767211,0.04788195510891383,0.0022926816250520396,86.1637457919172
200,19.026331580120587,0.040576216057481386,0.040972462305397556,0.0016787426673672235,73.96253381091383
500,10.199714030623166,0.02180482566963287,0.022478632102997855,0.0005052889012219258,39.7459475656047
1000,6.441574318505766,0.014163580796998837,0.016189054159800008,0.000262085474588938,25.409044727889988
