expiry,window_size,freq,positional_embedding,mape,mae,rmse,mse,mase
5,32,0,1,78.65159022741351,0.14590763527384928,0.17468419346550085,0.030514567446692533,4.445526242949795
5,32,1,1,61.530068302768456,0.11047511415470407,0.13555153317137264,0.018374218145109738,3.3659651754744986
5,32,2,1,51.07937981894629,0.0898566311215072,0.10986361947425584,0.012070014883984086,2.7377594805370262
5,64,0,1,72.81777081338907,0.1307308599770804,0.1646505936686719,0.0271098179954461,3.983118962216964
5,64,1,1,66.04877514300594,0.11794657705982244,0.1438886239657195,0.020703936106748224,3.5936063428170453
5,64,2,1,57.36734507671686,0.09666487942958178,0.12067181356058525,0.014561686588000647,2.9451937691214334
5,128,0,1,69.91667174464347,0.1313976504931068,0.16818947486266095,0.028287699454577656,4.003434792378847
5,128,1,1,77.06414402531853,0.141589160988348,0.17382420260565482,0.030214853411491736,4.313950601074248
5,128,2,1,64.17975367019119,0.11756899685729076,0.15555534127049103,0.02419746419777893,3.582102197087986
5,256,0,1,54.082033324625854,0.09961731710383429,0.12683046435976064,0.016085966689712513,3.035148891325484
5,256,1,1,59.900354619158044,0.10852226726525473,0.13970945845868896,0.019518732782820132,3.3064656703306037
5,256,2,1,54.459491566668575,0.09572034177877947,0.12067033062403455,0.01456132869291381,2.9164155156310323
5,512,0,1,63.57156668870395,0.12582168773860206,0.15343670829471773,0.023542823452318302,3.833545884863229
5,512,1,1,48.504639825140565,0.09438418818780724,0.12116289384533602,0.014680446844976163,2.8757054743632793
5,512,2,1,54.091080491293155,0.09595645760068675,0.1178022628559511,0.013877373133982598,2.9236095125777606
5,1024,0,1,70.4813000058676,0.12545202911120676,0.1620181640871197,0.02624988549416084,3.822283094359262
5,1024,1,1,53.14857203266282,0.10144009383813432,0.12810086829684447,0.01640983245840549,3.0906854079180563
5,1024,2,1,49.54001443322401,0.093922478468806,0.11935198243986447,0.014244895712325718,2.8616380633700667
5,32,0,0,53.33021783658452,0.07503912183126106,0.09456783568507354,0.00894307554615907,2.2862983470513845
5,32,1,0,49.54459312232649,0.07557501080087879,0.09618707907540262,0.009251954181057757,2.302625857762333
5,32,2,0,67.05686663426715,0.09588665469147077,0.1236814782658297,0.015297108066020904,2.921482751602083
5,64,0,0,53.03676475058704,0.07480006026656497,0.0956564500350348,0.009150156433305108,2.2790145989627906
5,64,1,0,52.01396328765227,0.08134347368644444,0.10211905808766275,0.01042830202471144,2.478379875645865
5,64,2,0,52.27219771074183,0.07694576178403734,0.09784704263953377,0.009574043753302739,2.3443900153181967
5,128,0,0,45.298396748933406,0.06725489851800374,0.08572086870323681,0.007348067331237563,2.0491279689891395
5,128,1,0,47.114176464004,0.07389595148733236,0.0953295150872173,0.009087716446763991,2.2514681357704
5,128,2,0,52.601382197555566,0.07598703250313722,0.09635572077409686,0.009284424925895722,2.3151793700347847
5,256,0,0,43.75234187621449,0.06454255986423191,0.08327892723592034,0.0069353797215657145,1.9664882041647764
5,256,1,0,43.96287556904815,0.06861241599453806,0.08756581116903156,0.007667771285690493,2.0904889269394866
5,256,2,0,48.29860749562987,0.06944293319792842,0.0903079325258048,0.008155522677085312,2.1157931957391525
5,512,0,0,43.45489205131108,0.06393676490696398,0.08271698299053053,0.006842099275055716,1.948030791875648
5,512,1,0,44.170682627714605,0.06714221038108857,0.08679694865209035,0.0075337102953136085,2.0456945772479513
5,512,2,0,45.978007673359826,0.0640107196687629,0.08237569842561529,0.006785755691107918,1.9502840518489946
5,1024,0,0,42.620083332228155,0.06458369092150044,0.08389528914959563,0.007038419541494257,1.9677413887163893
5,1024,1,0,45.36808221473318,0.06368982180305466,0.08186229029692557,0.006701434572658114,1.9405069083798736
5,1024,2,0,46.91178768945443,0.06485576339619646,0.08232265634565229,0.006777019747804365,1.976030916018887
