Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,1.7652621319204285,0.004482332591596504,0.004331854456696529,0.0004769899830721231,1.8772164030484968
vol_only,1.3094906339688146,0.0018576777750628772,0.0039527296403495055,0.0004404980648663392,0.7780018817578607
spx_small_cap_index,4.132443907348872,0.00869024718555162,0.008998384021726678,0.0014191990972924073,3.6395055989035954
best_vol,3.5420112279349865,0.006319144623905805,0.011292148620897502,0.0012768023471636354,2.646479639523266
best5,19.040349431473572,0.04010683379985728,0.03677812905093388,0.008377514174842431,16.796880808127554
best4_vol,21.198693861436166,0.040742070228098955,0.049658615035798784,0.008323803670373596,17.062920022875893
best10,13.976534595067546,0.028169098452014627,0.02784537712028703,0.004174587425274793,11.797315927057392
best9_vol,11.879617371293808,0.019750720965624288,0.032078411743054744,0.0047344501295486004,8.271670299123878
best20,1.7064794247904822,0.0035279098378440837,0.004403255848981617,0.00047673469193456995,1.4775008504485478
best19_vol,9.46208717337018,0.017161501981821932,0.024679311870210788,0.003627380325001241,7.187296427227163
