Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,43.868235156769266,0.06203041776317751,0.08004888750280141,0.006410187307410467,1.889948023813896
vol_only,47.01270018648758,0.06477152219125454,0.08349152276172458,0.006971560314436095,1.9734642257632395
al_lme_prices_abs_log_returns,43.868235156769266,0.06203041776317751,0.08004888750280141,0.006410187307410467,1.889948023813896
best_vol,43.25011200314325,0.06293171719469795,0.08204857140149768,0.0067320588416901125,1.917408891254286
best5,63.669900979002875,0.07930884484000775,0.0930677355878888,0.00870894484199293,2.4163886038715825
best4_vol,64.51981599759301,0.08080343500196696,0.09428622629374829,0.008944645241861143,2.461925903552374
best10,59.10922106097142,0.07617726063286956,0.092564260985565,0.008640683218059539,2.3209752309311704
best9_vol,56.88722982045209,0.0739234764188268,0.09014603294854946,0.008151822669240383,2.2523067425502714
best20,86.22707035136561,0.10829864721269178,0.12286315481208257,0.015193421422616597,3.2996523586666298
best19_vol,59.27009072602425,0.07679767880324576,0.09112024515966896,0.008346038971300053,2.3398781843099044
