Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,24.720219393009046,0.045801808024314244,0.05658097190662673,0.0032099571898050448,6.629717511677356
vol_only,26.914599387445286,0.04702289210125763,0.06172179748310854,0.0038161016604239943,6.806466920430924
spx_small_cap_index,37.58857876598186,0.06351690703681931,0.07490765192292238,0.00564885858858419,9.19394165937816
best_vol,33.07597103416689,0.05485870951858958,0.07018881407198507,0.004979757014852228,7.94068537579003
best5,68.37848273461668,0.12118520010430855,0.14245317610906422,0.02370062930555978,17.541308475446108
best4_vol,89.98897486257161,0.1608263221728492,0.19937012481968205,0.04046028518917816,23.27927936560899
best10,30.647224987845583,0.053649945296681975,0.06371790707630319,0.004121914893397271,7.765719240714846
best9_vol,36.04260956530565,0.06522119570394222,0.07884023265903811,0.006941534307887387,9.440633938761106
best20,64.26797677797315,0.11019597821384071,0.13130592349421372,0.01835001257562028,15.950641208156856
best19_vol,47.43917183848604,0.08025874333325442,0.0990816798881519,0.010799479849555517,11.61728803062162
