Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,1.30387622796636,0.0013830727887742247,0.003269328659404108,0.0003823561191525431,0.20019694163150253
vol_only,0.8059648022576982,0.0009530156383094984,0.0028551216870150125,0.00035106086391201554,0.13794705359335974
spx_small_cap_index,3.701742522206273,0.00609951839506699,0.006864971957198212,0.001025283359729822,0.8828927429045357
best_vol,2.9740579642304086,0.004230223438237883,0.00816144855559812,0.001166515020441328,0.6123161424524042
best5,31.378638757411913,0.058147876483392584,0.06526601261376128,0.017315172749093763,8.416785529168454
best4_vol,19.665697465028444,0.03982299204028846,0.029829484544711658,0.012581764122384228,5.764296194524328
best10,4.6918023531932835,0.006323475193603452,0.008799375774228325,0.0011536981901777456,0.9153100288843425
best9_vol,15.071398878047322,0.023818931291283676,0.030119595410548927,0.005252058195907058,3.447741316400303
best20,18.39485455416414,0.03284797514013211,0.037228467450191406,0.011000938557008795,4.754676843631804
best19_vol,15.518379314707746,0.025329757158061447,0.03504105734879637,0.007933033972115516,3.6664302533251165
